image_path,split,label,timestamp,source
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100418_a57ea181_aug_3.jpg,train,scarves,2025-09-06,local
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100556_e40081d6_aug_1.jpg,train,scarves,2025-09-06,local
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100502_79f61c4d_aug_2.jpg,train,scarves,2025-09-06,local
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100409_6af3ab71_norm.jpg,train,scarves,2025-09-06,local
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100556_e40081d6_aug_3.jpg,train,scarves,2025-09-06,local
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100544_4f27b8d2_aug_3.jpg,train,scarves,2025-09-06,local
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100592_39217b03_aug_2.jpg,train,scarves,2025-09-06,local
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100452_aef524bf_aug_1.jpg,train,scarves,2025-09-06,local
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100578_e59dd9ca_aug_1.jpg,train,scarves,2025-09-06,local
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100418_a57ea181_aug_1.jpg,train,scarves,2025-09-06,local
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100442_2b14e410_aug_1.jpg,train,scarves,2025-09-06,local
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100403_9f93f05c_norm.jpg,train,scarves,2025-09-06,local
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100385_6edce65a_aug_2.jpg,train,scarves,2025-09-06,local
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100509_f29b0691_norm.jpg,train,scarves,2025-09-06,local
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100424_6b053aca_aug_2.jpg,train,scarves,2025-09-06,local
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100592_39217b03_aug_1.jpg,train,scarves,2025-09-06,local
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100556_e40081d6_aug_2.jpg,train,scarves,2025-09-06,local
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100592_39217b03_norm.jpg,train,scarves,2025-09-06,local
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100442_2b14e410_norm.jpg,train,scarves,2025-09-06,local
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100521_2dd1ce9b_aug_2.jpg,train,scarves,2025-09-06,local
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100442_2b14e410_aug_2.jpg,train,scarves,2025-09-06,local
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100452_aef524bf_aug_3.jpg,train,scarves,2025-09-06,local
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100556_e40081d6_norm.jpg,train,scarves,2025-09-06,local
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100442_2b14e410_aug_3.jpg,train,scarves,2025-09-06,local
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100544_4f27b8d2_aug_2.jpg,train,scarves,2025-09-06,local
